district,cafe_count,avg_rating,high_quality_count,avg_price_level,total_reviews,avg_reviews,district_score,opportunity_score
Maltepe,568,4.340625,239,1.9782608695652174,92770,163.3274647887323944,0.24778645833333326,0.5527343749999999
Tuzla,268,4.165919282511211,85,1.94,33948,126.6716417910447761,0.16771300448430462,0.4872197309417038
Eyüpsultan,404,4.2106824925816015,146,1.9420289855072464,107449,265.9628712871287129,0.18822947576656718,0.5040059347181004
Beyoğlu,231,4.132,68,2.0133333333333333,130550,565.1515151515151515,0.15216666666666628,0.47449999999999964
Beykoz,228,4.27061855670103,80,1.8421052631578947,42619,186.9254385964912281,0.21570017182130521,0.5264819587628861
Üsküdar,701,4.28397435897436,278,1.961038961038961,233743,333.442225392296719,0.22182158119658157,0.5314903846153849
Sultanbeyli,209,4.239024390243902,73,1.8333333333333333,12926,61.84688995215311,0.20121951219512144,0.514634146341463
Zeytinburnu,225,4.151977401129945,69,1.8571428571428571,21433,95.2577777777777778,0.16132297551789115,0.48199152542372914
Gaziosmanpaşa,325,4.301709401709399,121,1.64,17048,52.4553846153846154,0.22995014245014098,0.5381410256410244
Sultangazi,290,4.245575221238938,102,1.7941176470588235,10366,35.7448275862068966,0.2042219764011797,0.5170907079646015
Pendik,674,4.212544169611302,261,1.8924731182795699,69168,102.6231454005934718,0.18908274440517997,0.5047040636042381
Fatih,1067,4.223719376391983,385,1.8523809523809524,328875,308.2239925023430178,0.2942047141796589,0.6088947661469936
Çekmekoy,53,4.1375,17,2,5213,98.3584905660377358,0.15468749999999987,0.4765624999999999
Beşiktaş,383,4.162608695652174,130,2.1212121212121212,153871,401.7519582245430809,0.16619565217391274,0.48597826086956497
Başakşehir,439,4.261154855643046,170,2.0810810810810811,62443,142.2391799544419134,0.21136264216972908,0.5229330708661419
Ümraniye,339,4.251254480286738,122,1.9574468085106383,31341,92.4513274336283186,0.2068249701314213,0.5192204301075265
Beylikduzu,112,4.115053763440859,26,2,17055,152.2767857142857143,0.14439964157705998,0.4681451612903218
Eyüp,1,5,1,,1,1,0.55,0.8
Bayrampaşa,291,4.175933609958504,115,1.9736842105263158,23945,82.2852233676975945,0.17230290456431405,0.49097510373443876
Kadıköy,945,4.382860385925084,445,2.0089285714285714,316866,335.3079365079365079,0.26714434354899663,0.5685726447219063
Küçükçekmece,530,4.226497695852533,188,1.8953488372093023,41174,77.6867924528301887,0.19547811059907746,0.5099366359446997
Avcılar,391,4.163803680981594,122,1.8636363636363636,39400,100.7672634271099744,0.16674335378323055,0.4864263803680977
Basaksehir,7,4.016666666666667,0,2,660,94.2857142857142857,0.09930555555555527,0.43124999999999974
Ataşehir,424,4.248033707865167,160,1.9876543209876543,66283,156.3278301886792453,0.20534878277153465,0.5180126404494374
Sancaktepe,325,4.297378277153556,129,1.95,34098,104.9169230769230769,0.22796504369537976,0.5365168539325834
Esenler,239,4.201117318435752,74,1.8333333333333333,13252,55.4476987447698745,0.18384543761638633,0.500418994413407
Esenyurt,370,4.154243542435423,107,1.8421052631578947,17880,48.3243243243243243,0.1623616236162353,0.4828413284132834
Şile,19,4.826315789473684,17,1.5,944,49.6842105263157895,0.4703947368421051,0.7348684210526314
Atasehir,151,4.261788617886178,52,1.8076923076923077,13546,89.7086092715231788,0.21165311653116467,0.5231707317073165
Bahçelievler,529,4.216243654822334,164,1.9178082191780822,42380,80.113421550094518,0.1907783417935694,0.5060913705583749
Adalar,114,4.082075471698112,45,1.9230769230769231,15254,133.8070175438596491,0.12928459119496788,0.45577830188679186
Güngören,245,4.227624309392267,76,1.8888888888888889,21694,88.5469387755102041,0.19599447513812215,0.5103591160220999
Kağıthane,340,4.21576923076923,119,1.8709677419354839,18624,54.7764705882352941,0.19056089743589702,0.5059134615384612
Arnavutkoy,217,3.8000000000000007,50,1.96,13075,60.2534562211981567,0,0.35
Beylikdüzü,439,4.295225464190983,178,1.9516129032258065,56205,128.0296127562642369,0.2269783377542003,0.5357095490716184
Sarıyer,500,4.271882086167799,180,2.091743119266055,121852,243.704,0.2162792894935743,0.5269557823129244
Kartal,487,4.316504854368931,198,1.9054054054054054,58960,121.0677618069815195,0.23673139158576,0.543689320388349
Büyükçekmece,270,4.275113122171941,92,1.9347826086956522,36418,134.8814814814814815,0.21776018099547287,0.5281674208144778
Bakırköy,480,4.201877934272302,160,2.0583333333333333,114073,237.6520833333333333,0.18419405320813814,0.500704225352113
Bağcılar,379,4.218874172185428,123,1.875,23612,62.3007915567282322,0.19198399558498772,0.5070778145695354
Çatalca,13,4.2272727272727275,4,1.3333333333333333,263,20.2307692307692308,0.19583333333333325,0.5102272727272726
Şişli,277,4.205652173913043,82,2.0845070422535211,56702,204.7003610108303249,0.18592391304347775,0.5021195652173909
